City,Country,Latitude,Longitude,Max Temperature (F),Humidity (%),Cloudiness (%),Wind Speed (mph)
grindavik,IS,63.84,-22.43,37.4,86,75,8.05
riyadh,SA,24.69,46.72,77.0,20,0,5.82
southbridge,US,42.08,-72.03,52.0,55,24,8.86
bethlehem,BR,-1.46,-48.5,77.0,88,19,11.41
sistranda,NO,63.73,8.83,51.8,81,71,17.22
barrow,US,71.29,-156.79,33.8,80,90,12.75
portland,US,45.52,-122.68,66.99,67,100,3.22
egvekinot,RU,66.32,-179.17,39.67,71,79,2.3
cururupu,BR,-1.83,-44.87,75.4,87,6,5.06
cotonou,BJ,6.37,2.42,77.25,86,100,11.56
port blair,IN,11.67,92.75,84.13,75,100,7.85
klaksvik,FO,62.23,-6.59,37.4,86,69,3.36
carnarvon,AU,-24.87,113.63,89.6,7,0,19.46
nusaybin,TR,37.08,41.22,66.2,34,0,2.24
margate,GB,51.38,1.39,64.0,95,27,1.99
morwa,IN,22.9,73.83,83.35,82,93,7.99
kalianget,ID,-7.05,113.93,87.04,58,77,8.19
khani,GE,41.96,42.96,62.6,88,6,8.05
westport,US,41.14,-73.36,60.8,44,1,10.29
chicama,PE,-7.84,-79.15,61.86,83,27,4.14
sun valley,US,39.6,-119.78,71.6,25,1,8.05
kirksville,US,40.19,-92.58,62.01,82,1,4.7
ilulissat,GL,69.22,-51.1,24.8,73,0,4.97
umm lajj,SA,25.02,37.27,86.25,47,0,2.42
kavos,GR,38.83,22.83,68.0,83,36,4.0
opuwo,NA,-18.06,13.84,59.7,38,3,1.03
xuanzhou,CN,30.95,118.76,66.81,83,100,1.21
qaanaaq,GL,77.48,-69.36,12.11,80,3,10.09
torbay,CA,47.67,-52.73,57.0,100,90,18.34
mount gambier,AU,-37.83,140.77,53.6,71,90,18.34
cocobeach,GA,1.0,9.58,77.0,88,40,6.93
fastiv,UA,50.08,29.92,50.0,87,0,5.88
nanhai,CN,30.13,111.78,71.01,75,94,8.63
shimoda,JP,34.67,138.95,69.8,94,75,31.09
banjar,ID,-8.19,114.97,86.0,79,20,13.87
rocha,UY,-34.48,-54.33,42.94,89,100,6.69
coihaique,CL,-45.58,-72.07,42.8,70,75,2.24
bathsheba,BB,13.22,-59.52,82.4,78,20,9.17
payakumbuh,ID,-0.22,100.63,87.22,53,41,3.02
mikun,RU,62.35,50.08,43.59,82,98,11.45
olafsvik,IS,64.89,-23.71,38.7,77,99,30.76
teguldet,RU,57.31,88.17,52.21,61,98,7.92
puerto el triunfo,SV,13.28,-88.55,75.2,94,75,11.41
marystown,CA,47.17,-55.15,59.0,100,100,7.0
sao felix do xingu,BR,-6.64,-51.99,76.6,69,46,1.92
sao filipe,CV,14.9,-24.5,80.11,80,12,2.3
quatre cocos,MU,-20.21,57.76,73.0,73,40,11.41
nokaneng,BW,-19.67,22.27,67.75,41,0,11.48
newport,GB,51.59,-3.0,59.0,96,100,1.99
ballina,AU,-28.87,153.57,86.0,36,40,13.87
tautira,PF,-17.73,-149.15,82.4,58,20,13.87
mabaruma,GY,8.2,-59.78,76.33,92,58,2.82
souillac,MU,-20.52,57.52,71.6,73,40,11.41
ternate,ID,0.8,127.4,85.39,67,62,4.25
yerbogachen,RU,61.28,108.01,55.42,61,0,4.52
saraland,US,30.82,-88.07,69.01,92,94,5.53
turiacu,BR,-1.66,-45.37,75.33,89,20,5.66
urengoy,RU,65.97,78.37,40.69,83,99,13.71
anadyr,RU,64.75,177.48,48.2,61,44,13.42
krasnoborsk,RU,61.56,45.93,42.35,72,100,13.02
karibib,NA,-21.93,15.83,59.43,33,0,3.74
talara,PE,-4.58,-81.27,63.12,87,18,11.99
arsk,RU,56.09,49.88,53.6,76,20,11.18
bandarbeyla,SO,9.49,50.81,81.14,60,16,23.44
fairbanks,US,64.84,-147.72,55.4,47,1,4.29
prince rupert,CA,54.32,-130.32,55.4,76,90,13.87
chokurdakh,RU,70.63,147.92,48.96,66,37,8.77
loudi,CN,27.73,111.99,63.55,93,100,3.2
turochak,RU,52.26,87.12,49.26,85,100,5.28
alihe,CN,50.57,123.72,48.29,92,100,9.13
illela,NG,13.73,5.3,80.73,61,45,5.23
cherskiy,RU,68.75,161.3,43.25,82,99,2.8
weligama,LK,5.97,80.42,82.6,75,100,10.58
nicoya,CR,10.15,-85.45,75.9,89,100,1.1
pevek,RU,69.7,170.31,38.93,96,99,14.94
iwanai,JP,42.97,140.51,69.28,63,69,4.07
senneterre,CA,48.38,-77.23,57.2,87,1,6.93
benguela,AO,-12.58,13.41,69.87,85,8,3.15
lagoa,PT,39.05,-27.98,68.0,78,100,25.26
verkhnevilyuysk,RU,63.45,120.32,57.42,50,0,4.47
masvingo,ZW,-20.06,30.83,54.57,84,53,9.51
trinidad,BO,-14.83,-64.9,74.41,43,9,2.93
nkayi,CG,-4.18,13.29,74.16,78,100,3.22
sri aman,MY,1.24,111.46,86.0,74,40,2.24
falmouth,GB,50.15,-5.07,59.0,93,100,12.75
kalmunai,LK,7.42,81.82,87.8,54,62,3.94
korla,CN,41.76,86.15,73.96,20,23,6.78
saint-augustin,CA,51.23,-58.65,49.51,64,98,6.73
sumbe,AO,-11.21,13.84,70.72,87,16,5.55
huarmey,PE,-10.07,-78.15,61.12,85,5,5.86
lorengau,PG,-2.02,147.27,85.93,67,96,10.36
srednekolymsk,RU,67.45,153.68,44.71,80,98,4.0
matara,LK,5.95,80.54,82.81,74,98,10.09
ust-tsilma,RU,65.44,52.15,43.57,87,81,9.75
bicester,GB,51.9,-1.15,57.99,95,96,6.73
kahului,US,20.89,-156.47,86.0,48,40,19.46
medicine hat,CA,50.05,-110.67,55.4,87,90,3.36
garmsar,IR,35.22,52.34,73.04,31,0,4.85
harrismith,ZA,-28.27,29.13,44.33,78,0,3.24
ribeira grande,PT,38.52,-28.7,68.13,81,100,25.08
karakol,KG,42.49,78.39,57.96,36,0,4.09
sohag,EG,26.56,31.69,82.4,51,0,11.41
college,US,64.86,-147.8,55.4,54,75,4.21
acapulco,MX,16.86,-99.89,80.51,81,53,6.02
harper,LR,4.38,-7.72,75.67,88,99,10.65
poyarkovo,RU,49.6,128.68,57.61,80,96,11.68
zatoka,UA,46.07,30.47,50.0,71,14,4.47
zhangye,CN,38.93,100.45,70.2,24,0,6.24
garden city,US,42.33,-83.33,59.0,77,20,5.82
esperance,AU,-33.87,121.9,60.8,63,75,3.36
namibe,AO,-15.2,12.15,62.73,91,40,5.3
honningsvag,NO,70.98,25.97,42.8,81,20,18.34
port-gentil,GA,-0.72,8.78,75.76,86,100,14.07
dwarka,IN,22.24,68.97,84.36,79,22,15.17
tongliao,CN,43.61,122.27,71.74,35,48,8.88
herat,AF,34.5,62.0,64.4,27,0,16.11
iqaluit,CA,63.75,-68.51,35.6,80,90,18.34
martapura,ID,-3.42,114.85,87.8,70,40,6.93
comodoro rivadavia,AR,-45.87,-67.5,51.8,51,0,21.92
qovlar,AZ,40.95,45.73,64.4,88,90,2.98
soyo,AO,-6.13,12.37,73.08,83,99,4.94
ocampo,MX,21.65,-101.5,57.7,68,27,4.45
svetlaya,RU,46.54,138.33,61.79,61,92,4.65
cairns,AU,-16.92,145.77,88.0,61,6,10.29
ndola,ZM,-12.96,28.64,58.05,72,0,8.05
bazarnyye mataki,RU,54.88,49.93,53.64,85,73,14.05
lata,PT,40.16,-8.33,66.2,93,75,8.05
port lincoln,AU,-34.73,135.87,57.07,65,50,15.99
bahia blanca,AR,-38.72,-62.27,50.99,68,23,8.48
vila do maio,CV,15.13,-23.22,78.8,88,20,6.93
letlhakeng,BW,-24.09,25.03,53.33,77,60,11.81
bilma,NE,18.69,12.92,81.59,25,0,7.92
makat,KZ,47.65,53.35,60.73,39,32,12.53
espinosa,BR,-14.93,-42.82,68.58,83,12,6.55
cayenne,GF,4.93,-52.33,77.0,88,2,12.66
cataingan,PH,12.0,123.99,87.96,66,31,5.53
bhadasar,IN,28.28,74.32,90.91,42,7,2.82
valvedditturai,LK,9.82,80.17,84.67,72,54,13.15
alofi,NU,-19.06,-169.92,71.6,88,90,6.93
northam,GB,51.03,-4.22,57.99,95,100,8.01
chalmette,US,29.94,-89.96,77.0,83,90,17.22
singkang,MY,2.1,102.8,86.0,74,20,5.82
isabela,PH,6.71,121.97,87.8,66,40,5.82
prince george,CA,53.92,-122.75,53.01,87,40,3.36
pangoa,PE,-12.12,-73.0,66.04,94,68,2.28
henties bay,NA,-22.12,14.28,54.0,94,0,2.33
albion,US,42.24,-84.75,53.6,93,1,6.04
kavieng,PG,-2.57,150.8,86.13,61,59,8.14
hirara,JP,24.8,125.28,86.0,70,40,10.29
edgewater,US,28.99,-80.9,75.2,73,40,12.75
vao,NC,-22.67,167.48,70.65,78,0,11.34
itoman,JP,26.12,127.67,87.01,74,20,9.17
lingyuan,CN,41.24,119.4,70.95,36,95,6.35
laguna,US,38.42,-121.42,72.0,43,1,4.7
ugoofaaru,MV,5.67,73.0,82.2,77,79,13.06
hambantota,LK,6.12,81.12,82.4,83,40,9.17
longyearbyen,SJ,78.22,15.64,33.8,69,40,6.93
gat,IL,31.61,34.76,75.0,82,19,2.86
ajdabiya,LY,30.76,20.23,68.81,67,0,8.37
sobolevo,RU,54.43,31.9,50.13,92,0,5.41
sur,OM,22.57,59.53,89.26,34,86,5.59
cidreira,BR,-30.18,-50.21,59.05,77,0,19.08
paracatu,BR,-17.22,-46.87,69.39,62,85,4.5
port hedland,AU,-20.32,118.57,95.0,5,0,19.46
catalao,BR,-18.17,-47.95,66.04,88,100,8.59
ust-kuyga,RU,70.02,135.6,51.71,51,50,7.45
mayskiy,RU,47.69,40.1,42.8,52,70,2.98
sulangan,PH,11.14,123.72,83.68,72,80,4.32
marsh harbour,BS,26.54,-77.06,79.34,70,76,19.39
naze,JP,28.37,129.48,86.0,74,40,16.11
najran,SA,17.49,44.13,71.6,19,27,4.7
polson,US,47.69,-114.16,51.01,53,0,1.48
huadian,CN,42.96,126.75,65.48,61,80,2.35
las cruces,US,32.31,-106.78,75.0,21,1,6.93
san cristobal,VE,7.77,-72.22,66.27,82,72,1.72
ginir,ET,7.13,40.7,58.86,92,92,8.86
dunedin,NZ,-45.87,170.5,54.0,79,94,5.01
zabaykalsk,RU,49.63,117.32,54.86,44,0,9.37
san patricio,MX,19.22,-104.7,74.95,88,100,8.25
plettenberg bay,ZA,-34.05,23.37,54.59,65,41,1.77
inirida,CO,3.87,-67.92,76.62,88,43,2.19
otjimbingwe,NA,-22.35,16.13,62.65,28,12,3.78
guarapari,BR,-20.67,-40.5,71.6,88,90,3.36
dallas,US,32.77,-96.78,66.99,93,90,9.17
thompson,CA,55.74,-97.86,48.2,70,90,9.17
faanui,PF,-16.48,-151.75,78.44,81,32,17.98
inta,RU,66.03,60.17,38.97,94,100,4.65
somerset,US,40.57,-74.55,59.0,76,1,8.19
guerrero negro,MX,27.98,-114.06,76.23,62,0,11.92
luderitz,NA,-26.65,15.16,59.79,53,0,8.93
georgetown,MY,5.41,100.34,86.0,70,20,3.36
iquique,CL,-20.22,-70.14,60.8,72,90,4.7
whitehaven,GB,54.55,-3.58,48.0,90,100,1.01
biltine,TD,14.53,20.92,83.07,33,27,6.17
jurado,CO,7.11,-77.76,76.86,91,94,1.45
ystad,SE,55.43,13.82,55.0,100,90,3.36
xinyu,CN,27.8,114.93,65.66,95,100,3.87
atherton,GB,53.52,-2.49,57.99,91,100,1.01
suruc,TR,36.98,38.42,69.8,60,0,4.7
cocorit,MX,27.58,-109.97,85.41,64,1,3.62
barcelona,ES,41.39,2.16,68.0,88,20,9.17
richards bay,ZA,-28.78,32.04,57.02,82,0,7.25
pafos,CY,34.77,32.42,69.8,83,20,8.05
bogorodskoye,RU,56.55,37.88,47.12,96,1,5.64
macroom,IE,51.9,-8.95,52.0,93,20,9.17
yumen,CN,40.28,97.2,70.54,22,0,8.5
lebedinyy,RU,58.52,125.52,54.61,41,5,4.92
san juan del sur,NI,11.25,-85.87,80.24,81,100,8.55
yulara,AU,-25.24,130.99,77.0,19,0,17.22
coahuayana,MX,18.73,-103.68,79.14,86,100,2.62
kasongo-lunda,CD,-6.47,16.82,71.1,87,56,1.19
great bend,US,38.36,-98.76,63.0,93,1,6.93
severo-kurilsk,RU,50.68,156.12,51.08,70,2,11.99
chulym,RU,55.1,80.96,44.91,83,100,10.29
san quintin,MX,30.48,-115.95,72.39,69,0,12.26
kavaratti,IN,10.57,72.64,84.2,79,20,9.17
zheleznodorozhnyy,RU,55.75,38.0,54.0,93,0,2.24
north platte,US,41.12,-100.77,69.8,46,1,9.17
rawah,IQ,34.48,41.91,77.52,40,0,9.82
nijar,ES,36.97,-2.21,71.6,88,100,3.36
berlevag,NO,70.86,29.09,42.8,81,20,18.34
dingzhou,CN,38.51,115.0,62.6,93,90,4.47
cabedelo,BR,-6.98,-34.83,71.6,94,20,4.7
marshall,US,34.38,-86.33,62.01,72,1,1.92
farsund,NO,58.09,6.8,60.01,95,92,11.39
lake charles,US,30.21,-93.2,77.0,94,90,12.75
zhanakorgan,KZ,43.91,67.25,58.35,35,85,8.01
navahrudak,BY,53.6,25.83,51.08,93,0,6.08
letterkenny,IE,54.95,-7.73,43.43,89,40,3.74
ruteng,ID,-8.61,120.47,79.74,55,19,2.91
sai buri,TH,6.7,101.62,78.8,88,20,3.36
manzanillo,CU,20.34,-77.12,76.8,90,90,4.07
moramanga,MG,-18.93,48.2,59.97,83,58,6.31
millinocket,US,45.66,-68.71,57.2,50,1,11.41
salmo,CA,49.2,-117.27,57.99,72,34,4.25
santa maria,BR,-29.68,-53.81,51.8,87,1,6.93
ingham,US,42.6,-84.38,55.99,82,1,6.69
kununurra,AU,-15.77,128.73,98.6,30,0,9.17
khorramshahr,IR,30.44,48.17,75.2,47,0,4.7
otane,NZ,-39.88,176.63,61.0,68,100,10.0
parana,AR,-31.73,-60.52,57.0,60,37,1.99
la reforma,MX,25.08,-108.05,86.0,79,8,3.0
bentiu,SS,9.23,29.83,73.9,93,100,2.01
ostrovnoy,RU,68.05,39.51,39.78,89,19,8.37
aripuana,BR,-9.17,-60.63,74.28,91,83,1.41
chililabombwe,ZM,-12.36,27.82,58.55,63,0,8.16
boddam,GB,57.47,-1.78,50.0,81,100,11.41
rincon,US,32.3,-81.24,62.6,82,75,1.86
yining,CN,29.04,114.56,66.18,88,99,2.17
nanortalik,GL,60.14,-45.24,36.52,75,0,8.9
murindo,CO,6.98,-76.75,75.07,93,100,2.35
avrameni,RO,48.02,26.95,50.0,76,6,9.17
agnibilekrou,CI,7.13,-3.2,72.64,89,99,4.45
heyang,CN,26.1,107.47,60.39,91,100,5.64
conde,BR,-7.26,-34.91,71.6,94,20,4.7
skotterud,NO,59.98,12.13,57.99,93,68,8.05
ust-ilimsk,RU,58.0,102.66,52.65,57,99,6.06
turki,RU,51.99,43.27,51.03,82,0,8.84
thanh hoa,VN,19.8,105.77,86.18,76,100,5.99
yingkou,CN,40.66,122.23,71.19,42,100,3.51
fallon,US,39.47,-118.78,75.2,16,40,12.75
nha trang,VN,12.25,109.18,93.2,63,20,6.93
pisco,PE,-13.7,-76.22,59.0,82,0,2.24
okato,NZ,-39.2,173.88,57.0,95,100,11.99
tottori,JP,35.5,134.23,77.0,69,75,18.34
cap malheureux,MU,-19.98,57.61,73.0,69,1,5.99
krasnokamensk,RU,50.1,118.04,54.3,46,0,6.53
lima,PE,-12.04,-77.03,61.0,82,40,10.29
tuban,ID,-6.9,112.06,89.55,55,72,3.76
goure,NE,13.98,10.27,84.11,42,0,6.17
ibra,OM,22.69,58.53,91.36,11,89,5.91
bosaso,SO,11.28,49.18,89.94,53,97,8.28
la ronge,CA,55.1,-105.28,39.2,93,5,2.73
vostok,RU,46.49,135.88,58.48,67,78,2.62
ostrovskoye,RU,57.81,42.24,48.76,96,39,6.78
rupert,US,42.62,-113.68,57.2,58,1,6.93
marzuq,YE,14.4,46.47,80.85,26,92,2.68
porto novo,BJ,6.5,2.6,76.66,86,100,7.14
cape canaveral,US,28.41,-80.6,78.8,61,20,5.82
erdemli,TR,36.6,34.31,76.86,70,0,7.9
yuanping,CN,38.72,112.76,65.21,64,39,4.18
kruisfontein,ZA,-34.0,24.73,46.85,77,18,1.07
yhu,PY,-25.05,-55.92,64.02,79,12,4.63
arawa,PG,-6.21,155.54,86.76,56,99,1.97
mangai,CD,-4.05,19.53,68.79,95,53,1.9
turukhansk,RU,65.82,87.98,47.16,70,82,16.78
esmeraldas,BR,-19.76,-44.31,64.4,93,70,10.29
brae,GB,60.4,-1.35,48.2,81,99,16.11
ayan,RU,56.45,138.17,55.13,65,0,3.56
rio grande,BR,-32.03,-52.1,54.45,76,70,12.93
manado,ID,1.49,124.85,91.4,59,40,6.93
ancud,CL,-41.87,-73.82,46.0,87,1,1.99
yaan,NG,7.38,8.57,73.36,93,100,5.79
asosa,ET,10.07,34.53,62.01,100,95,3.0
oktyabrskiy,RU,54.48,53.47,54.45,84,92,15.57
touros,BR,-5.2,-35.46,71.6,94,20,3.36
kolokani,ML,13.57,-8.03,73.62,84,17,5.46
pacific grove,US,36.62,-121.92,64.0,91,0,1.99
leningradskiy,RU,69.38,178.42,40.08,85,100,20.22
port hardy,CA,50.7,-127.42,55.4,93,90,12.75
tallahassee,US,30.44,-84.28,73.4,69,1,4.7
bela vista,BR,-22.11,-56.52,66.99,81,0,4.65
nouadhibou,MR,20.93,-17.03,71.6,88,0,12.75
indi,IN,17.17,75.97,78.6,75,99,18.21
shakiso,ET,5.75,38.92,59.86,84,100,3.0
hami,CN,42.8,93.45,74.84,27,0,6.35
kpandae,GH,8.47,-0.01,73.44,92,94,3.53
abomsa,ET,9.98,39.98,71.64,46,81,4.61
domoni,KM,-12.26,44.53,76.46,80,33,8.01
port shepstone,ZA,-30.74,30.45,58.41,67,0,6.51
sao jose da coroa grande,BR,-8.9,-35.15,74.46,82,25,7.9
la florida,CO,1.3,-77.41,54.27,81,39,6.76
