City,Country,Latitude,Longitude,Max Temperature (F),Humidity (%),Cloudiness (%),Wind Speed (mph)
petrozavodsk,RU,61.78,34.35,48.2,100,42,2.24
kaeo,NZ,-35.1,173.78,64.99,80,100,15.99
tiksi,RU,71.69,128.87,49.03,63,0,12.33
talnakh,RU,69.49,88.4,41.0,86,88,11.18
maragogi,BR,-9.01,-35.22,73.89,79,57,8.81
san onofre,CO,9.74,-75.53,78.91,84,100,1.34
cockburn town,TC,21.46,-71.14,82.62,79,20,13.06
micheweni,TZ,-4.97,39.83,76.1,83,61,7.02
bereda,ES,43.27,-7.54,55.99,100,97,5.99
mahebourg,MU,-20.41,57.7,62.6,88,20,3.36
kodiak,US,57.79,-152.41,51.8,87,90,12.75
puntarenas,CR,9.98,-84.84,68.0,100,90,2.24
belmonte,BR,-15.86,-38.88,77.0,69,75,10.29
kyzyl-suu,KG,42.34,78.0,57.92,40,3,3.65
lavrentiya,RU,65.58,-171.0,41.04,73,77,8.48
triel-sur-seine,FR,48.98,2.01,54.0,93,0,8.05
buchanan,LR,5.88,-10.05,75.79,88,28,5.68
dmitriyevka,RU,54.75,55.33,37.4,86,75,6.71
caravelas,BR,-17.71,-39.25,73.69,75,100,5.23
geraldton,AU,-28.77,114.6,87.8,11,46,18.34
anloga,GH,5.79,0.9,77.0,88,40,5.82
valday,RU,57.97,33.25,50.36,94,0,5.3
orda,RU,57.2,56.91,40.08,87,1,9.46
mongar,BT,27.27,91.24,61.92,96,100,0.09
ilebo,CD,-4.32,20.58,72.46,91,100,1.59
kaitangata,NZ,-46.28,169.85,57.99,56,97,5.99
upernavik,GL,72.79,-56.15,24.94,87,98,8.57
sivaki,RU,52.63,126.75,57.27,69,59,8.57
clyde river,CA,70.47,-68.59,33.8,74,90,14.99
saldanha,ZA,-33.01,17.94,56.71,88,0,12.73
kieta,PG,-6.22,155.63,83.61,68,25,1.88
wanning,CN,18.8,110.4,87.48,67,100,3.42
hobart,AU,-42.88,147.33,55.99,43,75,5.82
todos santos,MX,23.45,-110.22,82.0,84,2,1.01
tselinnoye,RU,53.08,85.67,54.39,48,100,17.16
canutama,BR,-6.53,-64.38,76.26,75,26,1.97
oda,JP,35.18,132.5,75.2,78,75,2.24
kathu,TH,7.92,98.33,87.8,70,40,2.24
monrovia,LR,6.3,-10.8,76.28,86,27,4.43
saint-joseph,RE,-21.37,55.62,68.0,49,45,6.93
hervey bay,AU,-25.3,152.85,81.0,39,43,5.01
port-cartier,CA,50.03,-66.87,59.0,67,20,13.87
necochea,AR,-38.55,-58.74,42.01,95,0,3.0
cherepovets,RU,59.13,37.9,39.2,100,75,5.79
tessalit,ML,20.2,1.01,84.65,18,0,3.47
labuhan,ID,-6.88,112.21,91.2,50,1,4.52
taoudenni,ML,22.68,-3.98,90.52,18,0,2.01
salalah,OM,17.02,54.09,78.8,88,75,3.36
ahipara,NZ,-35.17,173.17,59.88,92,100,14.36
abeche,TD,13.83,20.83,74.21,77,96,4.14
dingle,PH,11.0,122.67,85.59,78,100,11.95
launceston,AU,-41.45,147.17,55.99,57,92,10.29
camacha,PT,33.08,-16.33,71.6,83,40,12.75
luwingu,ZM,-10.26,29.93,54.25,87,57,5.48
tual,ID,-5.67,132.75,80.35,82,96,11.48
hithadhoo,MV,-0.6,73.08,82.2,61,78,4.72
saint george,US,37.1,-113.58,82.0,16,1,4.7
daru,PG,-9.08,143.21,81.73,72,99,13.44
kant,IN,27.8,79.8,82.15,73,52,11.32
gobo,JP,33.88,135.15,81.0,65,75,4.7
boden,SE,65.83,21.69,46.4,75,93,8.05
kenai,US,60.55,-151.26,54.0,66,90,5.82
codrington,AU,-38.27,141.97,51.26,80,100,13.47
kaunas,LT,54.9,23.9,50.0,81,49,3.36
sitka,US,57.05,-135.33,53.6,93,75,9.17
cap-haitien,HT,19.76,-72.2,82.09,73,35,3.38
constitucion,CL,-35.33,-72.42,54.0,78,100,4.27
grindavik,IS,63.84,-22.43,37.4,74,75,20.8
riyadh,SA,24.69,46.72,75.2,19,0,5.82
southbridge,US,42.08,-72.03,60.01,82,0,5.03
bethlehem,BR,-1.46,-48.5,77.0,88,25,2.24
sistranda,NO,63.73,8.83,42.8,87,75,8.05
barrow,US,71.29,-156.79,30.2,68,75,10.29
portland,US,45.52,-122.68,62.6,93,90,8.05
egvekinot,RU,66.32,-179.17,39.38,71,80,0.78
cururupu,BR,-1.83,-44.87,75.67,86,50,4.59
cotonou,BJ,6.37,2.42,78.8,83,40,13.87
port blair,IN,11.67,92.75,82.35,80,100,9.31
klaksvik,FO,62.23,-6.59,42.8,93,98,9.28
carnarvon,AU,-24.87,113.63,75.2,69,75,13.87
nusaybin,TR,37.08,41.22,73.4,38,0,6.93
margate,GB,51.38,1.39,54.0,75,0,4.0
morwa,IN,22.9,73.83,79.52,89,84,8.08
kalianget,ID,-7.05,113.93,87.03,56,2,7.45
khani,GE,41.96,42.96,59.0,93,0,2.24
westport,US,41.14,-73.36,64.4,72,1,3.36
chicama,PE,-7.84,-79.15,63.46,79,72,4.72
sun valley,US,39.6,-119.78,73.4,19,1,17.22
kirksville,US,40.19,-92.58,64.99,88,90,4.7
ilulissat,GL,69.22,-51.1,23.0,45,0,3.36
umm lajj,SA,25.02,37.27,86.9,47,0,8.66
kavos,GR,38.83,22.83,66.0,85,71,4.0
opuwo,NA,-18.06,13.84,64.72,29,49,5.88
xuanzhou,CN,30.95,118.76,75.04,67,1,4.97
qaanaaq,GL,77.48,-69.36,17.78,84,100,13.33
torbay,CA,47.67,-52.73,64.99,88,75,29.97
mount gambier,AU,-37.83,140.77,53.6,76,40,14.99
cocobeach,GA,1.0,9.58,77.0,88,75,8.05
fastiv,UA,50.08,29.92,48.2,70,30,6.71
nanhai,CN,30.13,111.78,77.65,61,0,2.51
shimoda,JP,34.67,138.95,69.8,77,75,38.03
banjar,ID,-8.19,114.97,84.2,83,40,8.05
rocha,UY,-34.48,-54.33,48.69,89,100,1.97
coihaique,CL,-45.58,-72.07,39.2,69,9,4.7
bathsheba,BB,13.22,-59.52,84.2,74,20,11.41
payakumbuh,ID,-0.22,100.63,81.37,71,98,1.99
mikun,RU,62.35,50.08,38.61,90,67,5.17
olafsvik,IS,64.89,-23.71,38.34,75,89,21.27
teguldet,RU,57.31,88.17,46.78,79,100,9.04
puerto el triunfo,SV,13.28,-88.55,73.4,94,75,9.17
marystown,CA,47.17,-55.15,57.99,100,98,8.99
sao felix do xingu,BR,-6.64,-51.99,76.06,70,17,1.57
sao filipe,CV,14.9,-24.5,79.54,81,27,3.44
quatre cocos,MU,-20.21,57.76,72.0,88,20,3.36
nokaneng,BW,-19.67,22.27,64.13,37,0,7.18
newport,GB,51.59,-3.0,51.01,97,94,5.01
ballina,AU,-28.87,153.57,81.0,40,0,10.29
tautira,PF,-17.73,-149.15,84.2,58,20,10.29
mabaruma,GY,8.2,-59.78,74.05,93,100,2.55
souillac,MU,-20.52,57.52,62.6,88,20,3.36
ternate,ID,0.8,127.4,83.53,73,44,5.7
yerbogachen,RU,61.28,108.01,56.55,59,2,6.62
saraland,US,30.82,-88.07,77.0,87,85,1.01
turiacu,BR,-1.66,-45.37,74.32,91,46,4.76
urengoy,RU,65.97,78.37,42.24,75,88,9.64
anadyr,RU,64.75,177.48,46.4,61,75,17.9
krasnoborsk,RU,61.56,45.93,41.95,80,67,7.27
karibib,NA,-21.93,15.83,62.74,30,71,2.44
talara,PE,-4.58,-81.27,63.21,86,91,12.55
arsk,RU,56.09,49.88,35.6,78,0,8.95
bandarbeyla,SO,9.49,50.81,81.18,64,6,22.88
fairbanks,US,64.84,-147.72,50.0,81,90,6.93
prince rupert,CA,54.32,-130.32,51.8,93,90,8.05
chokurdakh,RU,70.63,147.92,44.82,68,99,6.62
loudi,CN,27.73,111.99,73.35,77,77,2.62
turochak,RU,52.26,87.12,50.14,63,100,3.83
alihe,CN,50.57,123.72,56.88,53,1,9.15
illela,NG,13.73,5.3,81.99,61,89,8.86
cherskiy,RU,68.75,161.3,40.03,77,100,15.59
weligama,LK,5.97,80.42,83.46,73,99,8.79
nicoya,CR,10.15,-85.45,75.2,100,100,9.17
pevek,RU,69.7,170.31,32.9,90,28,20.92
iwanai,JP,42.97,140.51,71.02,55,48,2.21
senneterre,CA,48.38,-77.23,55.4,93,90,10.29
benguela,AO,-12.58,13.41,68.9,86,25,3.4
lagoa,PT,39.05,-27.98,66.31,68,100,13.89
verkhnevilyuysk,RU,63.45,120.32,53.53,45,71,4.76
masvingo,ZW,-20.06,30.83,53.6,75,0,2.64
trinidad,BO,-14.83,-64.9,77.74,49,1,1.45
nkayi,CG,-4.18,13.29,73.72,78,46,2.95
sri aman,MY,1.24,111.46,84.2,79,40,0.87
falmouth,GB,50.15,-5.07,53.6,76,70,25.28
kalmunai,LK,7.42,81.82,86.76,61,96,2.53
korla,CN,41.76,86.15,73.74,20,0,9.44
saint-augustin,CA,51.23,-58.65,56.88,90,100,19.8
sumbe,AO,-11.21,13.84,70.57,86,41,2.06
huarmey,PE,-10.07,-78.15,61.41,84,16,6.93
lorengau,PG,-2.02,147.27,86.0,58,45,6.67
srednekolymsk,RU,67.45,153.68,46.83,66,100,12.44
matara,LK,5.95,80.54,83.8,72,96,9.46
ust-tsilma,RU,65.44,52.15,37.4,85,71,6.02
bicester,GB,51.9,-1.15,46.0,95,50,8.23
kahului,US,20.89,-156.47,82.4,69,90,13.87
medicine hat,CA,50.05,-110.67,57.2,58,75,8.05
garmsar,IR,35.22,52.34,76.82,24,0,6.4
harrismith,ZA,-28.27,29.13,45.72,52,0,3.49
ribeira grande,PT,38.52,-28.7,65.52,72,24,17.36
karakol,KG,42.49,78.39,57.7,36,24,3.71
sohag,EG,26.56,31.69,73.17,70,0,11.21
college,US,64.86,-147.8,50.0,70,90,9.17
acapulco,MX,16.86,-99.89,80.76,82,7,3.49
harper,LR,4.38,-7.72,75.33,91,91,8.08
poyarkovo,RU,49.6,128.68,66.15,59,21,6.89
zatoka,UA,46.07,30.47,55.0,100,20,4.07
zhangye,CN,38.93,100.45,70.56,24,38,6.49
garden city,US,42.33,-83.33,64.4,72,75,4.7
esperance,AU,-33.87,121.9,60.8,67,75,10.29
namibe,AO,-15.2,12.15,61.93,90,39,4.47
honningsvag,NO,70.98,25.97,50.0,57,38,20.8
port-gentil,GA,-0.72,8.78,76.05,82,100,11.63
dwarka,IN,22.24,68.97,83.61,78,11,12.39
tongliao,CN,43.61,122.27,70.52,47,100,6.85
herat,AF,34.5,62.0,60.8,18,0,3.36
iqaluit,CA,63.75,-68.51,37.4,74,90,19.46
martapura,ID,-3.42,114.85,82.4,83,20,2.24
comodoro rivadavia,AR,-45.87,-67.5,53.6,40,0,10.29
qovlar,AZ,40.95,45.73,62.6,88,75,4.7
soyo,AO,-6.13,12.37,74.52,83,71,7.11
ocampo,MX,21.65,-101.5,56.21,72,0,5.59
svetlaya,RU,46.54,138.33,60.76,66,59,4.94
cairns,AU,-16.92,145.77,84.99,65,35,11.41
ndola,ZM,-12.96,28.64,52.75,83,0,5.97
bazarnyye mataki,RU,54.88,49.93,46.6,75,68,2.44
lata,PT,40.16,-8.33,62.01,89,97,0.18
port lincoln,AU,-34.73,135.87,55.42,63,100,25.59
bahia blanca,AR,-38.72,-62.27,55.67,54,1,9.44
vila do maio,CV,15.13,-23.22,77.0,88,20,5.82
letlhakeng,BW,-24.09,25.03,60.48,57,18,9.4
bilma,NE,18.69,12.92,84.81,18,12,13.8
makat,KZ,47.65,53.35,63.54,49,27,5.88
espinosa,BR,-14.93,-42.82,71.65,74,85,9.04
cayenne,GF,4.93,-52.33,77.0,100,75,8.08
cataingan,PH,12.0,123.99,87.69,68,100,12.08
bhadasar,IN,28.28,74.32,93.13,45,1,7.83
valvedditturai,LK,9.82,80.17,84.6,74,66,12.66
alofi,NU,-19.06,-169.92,77.0,78,75,11.41
northam,GB,51.03,-4.22,51.01,82,69,18.01
chalmette,US,29.94,-89.96,81.0,94,75,13.87
singkang,MY,2.1,102.8,84.2,74,20,2.24
isabela,PH,6.71,121.97,89.6,66,75,12.75
prince george,CA,53.92,-122.75,59.0,62,90,12.75
pangoa,PE,-12.12,-73.0,68.56,78,26,2.59
henties bay,NA,-22.12,14.28,55.0,95,2,2.44
albion,US,42.24,-84.75,57.99,93,1,5.14
kavieng,PG,-2.57,150.8,85.95,59,18,5.84
hirara,JP,24.8,125.28,86.0,62,20,10.29
edgewater,US,28.99,-80.9,77.0,69,20,3.36
vao,NC,-22.67,167.48,71.96,70,0,10.65
itoman,JP,26.12,127.67,86.0,70,20,11.41
lingyuan,CN,41.24,119.4,67.93,44,95,6.04
laguna,US,38.42,-121.42,75.0,53,1,9.17
ugoofaaru,MV,5.67,73.0,81.36,78,100,9.64
hambantota,LK,6.12,81.12,80.6,88,20,8.05
longyearbyen,SJ,78.22,15.64,30.2,86,75,5.82
gat,IL,31.61,34.76,75.0,93,47,1.99
ajdabiya,LY,30.76,20.23,72.3,52,0,6.29
sobolevo,RU,54.43,31.9,48.72,73,72,6.53
sur,OM,22.57,59.53,89.19,38,2,1.25
cidreira,BR,-30.18,-50.21,61.5,92,13,8.01
paracatu,BR,-17.22,-46.87,64.54,90,80,2.51
port hedland,AU,-20.32,118.57,91.4,9,48,10.29
catalao,BR,-18.17,-47.95,66.06,80,88,4.61
ust-kuyga,RU,70.02,135.6,50.9,47,19,6.44
mayskiy,RU,47.69,40.1,51.8,50,0,7.18
sulangan,PH,11.14,123.72,84.72,71,99,7.81
marsh harbour,BS,26.54,-77.06,79.83,70,17,16.08
naze,JP,28.37,129.48,84.2,83,40,9.17
najran,SA,17.49,44.13,68.0,18,100,4.7
polson,US,47.69,-114.16,59.0,57,90,4.0
huadian,CN,42.96,126.75,66.22,66,100,4.12
las cruces,US,32.31,-106.78,75.0,33,1,8.05
san cristobal,VE,7.77,-72.22,66.74,86,100,3.24
ginir,ET,7.13,40.7,59.99,84,100,3.69
dunedin,NZ,-45.87,170.5,60.01,60,95,3.4
zabaykalsk,RU,49.63,117.32,55.18,51,3,12.86
san patricio,MX,19.22,-104.7,79.79,87,75,2.86
plettenberg bay,ZA,-34.05,23.37,56.7,73,0,1.07
inirida,CO,3.87,-67.92,74.43,97,100,2.75
otjimbingwe,NA,-22.35,16.13,63.59,37,40,1.97
guarapari,BR,-20.67,-40.5,68.0,100,75,4.7
dallas,US,32.77,-96.78,71.01,77,90,9.17
thompson,CA,55.74,-97.86,35.6,93,5,4.05
faanui,PF,-16.48,-151.75,78.98,79,0,12.46
inta,RU,66.03,60.17,36.72,90,58,8.79
somerset,US,40.57,-74.55,57.0,93,1,3.36
guerrero negro,MX,27.98,-114.06,77.41,59,0,12.35
luderitz,NA,-26.65,15.16,57.58,70,79,6.29
georgetown,MY,5.41,100.34,78.8,88,40,2.24
iquique,CL,-20.22,-70.14,59.0,77,0,4.7
whitehaven,GB,54.55,-3.58,43.0,86,11,8.21
biltine,TD,14.53,20.92,77.94,64,95,7.61
jurado,CO,7.11,-77.76,76.32,91,100,3.27
ystad,SE,55.43,13.82,59.0,93,100,9.17
xinyu,CN,27.8,114.93,72.84,75,94,2.3
atherton,GB,53.52,-2.49,45.0,98,31,1.99
suruc,TR,36.98,38.42,68.0,64,0,6.93
cocorit,MX,27.58,-109.97,86.18,53,0,3.71
barcelona,ES,41.39,2.16,73.0,73,20,6.93
richards bay,ZA,-28.78,32.04,61.38,83,0,9.06
pafos,CY,34.77,32.42,68.0,82,40,8.05
bogorodskoye,RU,56.55,37.88,53.46,93,82,5.59
macroom,IE,51.9,-8.95,48.0,81,75,17.22
yumen,CN,40.28,97.2,70.97,21,99,4.9
lebedinyy,RU,58.52,125.52,52.36,43,0,6.4
san juan del sur,NI,11.25,-85.87,78.44,84,100,10.29
yulara,AU,-25.24,130.99,78.8,14,0,6.93
coahuayana,MX,18.73,-103.68,77.95,86,84,3.06
kasongo-lunda,CD,-6.47,16.82,71.73,91,100,2.01
great bend,US,38.36,-98.76,64.99,88,1,6.93
severo-kurilsk,RU,50.68,156.12,49.98,66,4,13.27
chulym,RU,55.1,80.96,45.73,85,100,15.37
san quintin,MX,30.48,-115.95,71.6,65,0,8.61
kavaratti,IN,10.57,72.64,84.2,79,40,13.87
zheleznodorozhnyy,RU,55.75,38.0,55.0,100,20,4.47
north platte,US,41.12,-100.77,60.8,63,1,3.36
rawah,IQ,34.48,41.91,75.36,45,0,9.44
nijar,ES,36.97,-2.21,72.0,73,100,2.24
berlevag,NO,70.86,29.09,50.0,57,0,20.8
dingzhou,CN,38.51,115.0,68.0,82,75,2.24
cabedelo,BR,-6.98,-34.83,69.8,100,20,4.7
marshall,US,34.38,-86.33,60.01,93,75,8.05
farsund,NO,58.09,6.8,57.99,94,100,17.9
lake charles,US,30.21,-93.2,72.0,94,90,12.75
zhanakorgan,KZ,43.91,67.25,61.65,32,0,6.33
navahrudak,BY,53.6,25.83,49.87,83,72,8.3
letterkenny,IE,54.95,-7.73,40.12,91,45,3.78
ruteng,ID,-8.61,120.47,75.45,76,12,1.48
sai buri,TH,6.7,101.62,86.0,79,20,5.82
manzanillo,CU,20.34,-77.12,77.7,84,96,2.06
moramanga,MG,-18.93,48.2,60.44,86,78,5.32
millinocket,US,45.66,-68.71,64.4,68,40,9.17
salmo,CA,49.2,-117.27,48.99,96,100,5.03
santa maria,BR,-29.68,-53.81,62.6,93,0,2.24
ingham,US,42.6,-84.38,61.0,82,1,5.82
kununurra,AU,-15.77,128.73,95.0,39,42,3.36
khorramshahr,IR,30.44,48.17,78.8,50,0,9.33
otane,NZ,-39.88,176.63,57.99,89,98,5.01
parana,AR,-31.73,-60.52,64.99,56,80,9.46
la reforma,MX,25.08,-108.05,87.01,77,0,3.0
bentiu,SS,9.23,29.83,70.66,96,11,2.8
ostrovnoy,RU,68.05,39.51,48.58,87,97,19.26
aripuana,BR,-9.17,-60.63,79.86,60,61,2.19
chililabombwe,ZM,-12.36,27.82,54.36,76,0,6.31
boddam,GB,57.47,-1.78,44.6,81,100,11.41
rincon,US,32.3,-81.24,69.8,68,40,3.36
yining,CN,29.04,114.56,80.19,54,2,2.46
nanortalik,GL,60.14,-45.24,38.46,76,100,19.46
murindo,CO,6.98,-76.75,73.92,95,100,2.15
avrameni,RO,48.02,26.95,53.6,81,97,2.24
agnibilekrou,CI,7.13,-3.2,71.74,94,100,2.98
heyang,CN,26.1,107.47,63.41,85,100,3.22
conde,BR,-7.26,-34.91,69.8,100,20,4.7
skotterud,NO,59.98,12.13,57.99,93,100,8.05
ust-ilimsk,RU,58.0,102.66,56.61,43,0,8.79
turki,RU,51.99,43.27,51.87,77,7,4.61
thanh hoa,VN,19.8,105.77,85.64,72,98,6.17
yingkou,CN,40.66,122.23,71.2,56,97,3.76
fallon,US,39.47,-118.78,77.0,16,20,6.93
nha trang,VN,12.25,109.18,91.4,66,20,6.93
pisco,PE,-13.7,-76.22,61.0,87,15,9.17
okato,NZ,-39.2,173.88,55.0,92,100,3.0
tottori,JP,35.5,134.23,77.0,78,75,11.41
cap malheureux,MU,-19.98,57.61,72.0,67,16,3.0
krasnokamensk,RU,50.1,118.04,54.72,55,15,13.09
lima,PE,-12.04,-77.03,61.0,82,90,10.29
tuban,ID,-6.9,112.06,90.52,51,2,5.28
goure,NE,13.98,10.27,82.0,62,81,1.01
ibra,OM,22.69,58.53,91.0,12,14,2.53
bosaso,SO,11.28,49.18,90.79,44,52,16.91
la ronge,CA,55.1,-105.28,55.4,66,40,12.75
vostok,RU,46.49,135.88,65.28,46,2,1.97
ostrovskoye,RU,57.81,42.24,47.43,93,58,5.26
rupert,US,42.62,-113.68,59.0,62,1,4.68
marzuq,YE,14.4,46.47,80.92,31,67,2.13
porto novo,BJ,6.5,2.6,78.8,83,40,13.87
cape canaveral,US,28.41,-80.6,80.6,73,1,6.93
erdemli,TR,36.6,34.31,76.73,73,2,8.01
yuanping,CN,38.72,112.76,68.58,49,0,1.3
kruisfontein,ZA,-34.0,24.73,50.74,73,0,3.22
yhu,PY,-25.05,-55.92,65.26,63,8,6.38
arawa,PG,-6.21,155.54,84.43,68,40,1.81
mangai,CD,-4.05,19.53,71.47,97,100,2.3
turukhansk,RU,65.82,87.98,47.57,82,100,13.73
esmeraldas,BR,-19.76,-44.31,62.6,93,75,11.41
brae,GB,60.4,-1.35,42.8,81,100,10.29
ayan,RU,56.45,138.17,53.44,82,0,11.21
rio grande,BR,-32.03,-52.1,59.11,87,100,4.7
manado,ID,1.49,124.85,86.0,66,40,5.82
ancud,CL,-41.87,-73.82,43.0,95,18,3.0
yaan,NG,7.38,8.57,70.95,97,100,4.9
asosa,ET,10.07,34.53,61.3,91,84,3.47
oktyabrskiy,RU,54.48,53.47,45.28,76,0,2.24
touros,BR,-5.2,-35.46,71.6,94,26,3.36
kolokani,ML,13.57,-8.03,72.3,90,100,3.15
pacific grove,US,36.62,-121.92,64.0,91,0,7.0
leningradskiy,RU,69.38,178.42,30.45,97,100,14.09
port hardy,CA,50.7,-127.42,53.6,100,75,4.7
tallahassee,US,30.44,-84.28,71.6,73,20,5.82
bela vista,BR,-22.11,-56.52,70.75,66,0,3.83
nouadhibou,MR,20.93,-17.03,73.4,78,0,11.41
indi,IN,17.17,75.97,80.87,73,99,14.2
shakiso,ET,5.75,38.92,60.46,87,100,0.78
hami,CN,42.8,93.45,77.13,20,73,4.5
kpandae,GH,8.47,-0.01,73.54,96,73,4.56
abomsa,ET,9.98,39.98,70.43,42,22,5.82
domoni,KM,-12.26,44.53,75.02,77,32,5.03
port shepstone,ZA,-30.74,30.45,66.52,37,0,6.51
sao jose da coroa grande,BR,-8.9,-35.15,74.23,79,43,9.13
la florida,CO,1.3,-77.41,57.18,85,100,4.32
